Genotype,Animal,Normalized distance from pia (%),Gephyrin Counts
CTRL, AB7927,14.0,62.333333333333336
CTRL, AB7927,16.0,104.16666666666667
CTRL, AB7927,18.0,111.5
CTRL, AB7927,20.0,129.66666666666666
CTRL, AB7927,22.0,125.33333333333333
CTRL, AB7927,24.0,141.33333333333334
CTRL, AB7927,26.0,125.16666666666667
CTRL, AB7927,28.0,97.66666666666667
CTRL, AB7927,30.0,119.5
CTRL, AB7927,32.0,107.66666666666667
CTRL, AB7927,34.0,113.83333333333333
CTRL, AB7927,36.0,116.5
CTRL, AB7927,38.0,104.83333333333333
CTRL, AB7927,40.0,99.33333333333333
CTRL, AB7927,42.0,105.16666666666667
CTRL, AB7927,44.0,110.33333333333333
CTRL, AB7927,46.0,110.66666666666667
CTRL, AB7927,48.0,103.0
CTRL, AB7927,50.0,86.83333333333333
CTRL, AB7927,52.0,90.66666666666667
CTRL, AB7927,54.0,91.0
CTRL, AB7927,56.0,82.33333333333333
CTRL, AB7927,58.0,82.0
CTRL, AB7927,60.0,82.16666666666667
CTRL, AB7927,62.0,70.83333333333333
CTRL, AB7927,64.0,88.5
CTRL, AB7927,66.0,77.66666666666667
CTRL, AB7927,68.0,81.0
CTRL, AB7927,70.0,76.33333333333333
CTRL, AB7927,72.0,84.0
CTRL, AB7927,74.0,85.16666666666667
CTRL, AB7927,76.0,91.83333333333333
CTRL, AB7927,78.0,95.16666666666667
CTRL, AB7927,80.0,83.66666666666667
CTRL, AB7927,82.0,99.0
CTRL, AB7927,84.0,73.33333333333333
CTRL, AB7927,86.0,94.5
CTRL, AB7927,88.0,90.16666666666667
CTRL, AB7927,90.0,81.0
CTRL, AB7927,92.0,83.66666666666667
CTRL, AB7927,94.0,69.33333333333333
CTRL, AB7927,96.0,71.5
CTRL, AB7927,98.0,63.0
CTRL, AB7928,2.0,10.333333333333334
CTRL, AB7928,4.0,10.333333333333334
CTRL, AB7928,6.0,16.0
CTRL, AB7928,8.0,16.666666666666668
CTRL, AB7928,10.0,12.666666666666666
CTRL, AB7928,12.0,15.0
CTRL, AB7928,14.0,21.333333333333332
CTRL, AB7928,16.0,48.0
CTRL, AB7928,18.0,50.666666666666664
CTRL, AB7928,20.0,58.0
CTRL, AB7928,22.0,50.0
CTRL, AB7928,24.0,72.66666666666667
CTRL, AB7928,26.0,63.0
CTRL, AB7928,28.0,63.0
CTRL, AB7928,30.0,89.0
CTRL, AB7928,32.0,98.0
CTRL, AB7928,34.0,74.33333333333333
CTRL, AB7928,36.0,72.33333333333333
CTRL, AB7928,38.0,71.66666666666667
CTRL, AB7928,40.0,64.0
CTRL, AB7928,42.0,43.666666666666664
CTRL, AB7928,44.0,69.66666666666667
CTRL, AB7928,46.0,62.666666666666664
CTRL, AB7928,48.0,63.666666666666664
CTRL, AB7928,50.0,62.666666666666664
CTRL, AB7928,52.0,61.333333333333336
CTRL, AB7928,54.0,54.666666666666664
CTRL, AB7928,56.0,52.666666666666664
CTRL, AB7928,58.0,60.0
CTRL, AB7928,60.0,54.666666666666664
CTRL, AB7928,62.0,41.333333333333336
CTRL, AB7928,64.0,44.0
CTRL, AB7928,66.0,37.666666666666664
CTRL, AB7928,68.0,42.666666666666664
CTRL, AB7928,70.0,31.333333333333332
CTRL, AB7928,72.0,51.666666666666664
CTRL, AB7928,74.0,44.333333333333336
CTRL, AB7928,76.0,41.666666666666664
CTRL, AB7928,78.0,38.333333333333336
CTRL, AB7928,80.0,41.333333333333336
CTRL, AB7928,82.0,45.666666666666664
CTRL, AB7928,84.0,29.333333333333332
CTRL, AB7928,86.0,32.333333333333336
CTRL, AB7928,88.0,37.333333333333336
CTRL, AB7928,90.0,45.666666666666664
CTRL, AB7928,92.0,35.333333333333336
CTRL, AB7928,94.0,33.0
CTRL, AB7928,96.0,32.0
CTRL, AB7928,98.0,22.666666666666668
