Genotype,Animal,Normalized distance from pia (%),Synapse Counts
CTRL, AB7928,20.0,14.666666666666666
CTRL, AB7928,22.0,15.333333333333334
CTRL, AB7928,24.0,21.0
CTRL, AB7928,26.0,18.666666666666668
CTRL, AB7928,28.0,18.333333333333332
CTRL, AB7928,30.0,28.666666666666668
CTRL, AB7928,32.0,36.333333333333336
CTRL, AB7928,34.0,25.0
CTRL, AB7928,36.0,16.666666666666668
CTRL, AB7928,38.0,18.666666666666668
CTRL, AB7928,40.0,15.333333333333334
CTRL, AB7928,42.0,7.333333333333333
CTRL, AB7928,44.0,21.666666666666668
CTRL, AB7928,46.0,18.333333333333332
CTRL, AB7928,48.0,17.666666666666668
CTRL, AB7928,50.0,17.0
CTRL, AB7928,52.0,17.333333333333332
CTRL, AB7928,54.0,15.0
CTRL, AB7928,56.0,15.0
CTRL, AB7928,58.0,17.666666666666668
CTRL, AB7928,60.0,15.666666666666666
CTRL, AB7928,62.0,10.666666666666666
CTRL, AB7928,64.0,10.666666666666666
CTRL, AB7928,66.0,8.666666666666666
CTRL, AB7928,68.0,7.0
CTRL, AB7928,70.0,6.666666666666667
CTRL, AB7928,72.0,10.333333333333334
CTRL, AB7928,74.0,7.0
CTRL, AB7928,76.0,8.333333333333334
CTRL, AB7928,78.0,5.333333333333333
CTRL, AB7928,80.0,8.333333333333334
CTRL, AB7928,82.0,7.0
CTRL, AB7928,84.0,5.0
CTRL, AB7928,86.0,4.666666666666667
CTRL, AB7928,88.0,4.0
CTRL, AB7928,90.0,4.0
CTRL, AB7928,92.0,3.0
CTRL, AB7928,94.0,1.6666666666666667
CTRL, AB7928,96.0,1.6666666666666667
CTRL, AB7928,98.0,2.0
